                    1                   2                   3                   
pop_WT_pure         0.00142162          0.00142162          
pop_C_pure          0.00037113          0.00037113          
pop_WT_mix          0.00364422          0.00364422          
pop_C_mix           0.00151722          0.00151722          
div_t_WT_pure       0.00043182          0.00043182          
div_t_C_pure        0.00244860          0.00244860          
init_compos_WT      0.02224909          0.02224909          
init_compos_C       0.01881182          0.01881182          
stat_ch_WT_g0       0.04768664          0.04768664          
stat_ch_WT_g1       0.00005568          0.00005568          
stat_ch_WT_g2       0.06273853          0.06273853          
tot                 0.16137636          0.16137636          
