                    1                   2                   3                   
a_tilde             0.05500000          0.05500000          
eta_phi_tilde       0.20000000          0.20000000          
eta_psi_tilde       0.20000000          0.20000000          
psi_w               0.73000000          0.73000000          
psi_g0              0.72900000          0.72900000          
tau_decay           1.00000000          1.00000000          
lambda_tilde        0.08000000          0.08000000          
psi_0_C             1.04000000          1.04000000          
nu_tilde            0.05000000          0.05000000          
delta_tilde         0.06000000          0.06000000          
epsilon_tilde       0.05000000          0.05000000          
